run,fold,accuracy,precision,recall,AP
1,0,0.6630434782608695,0.6301369863013698,0.92,0.5718837372356573
1,1,0.6559139784946236,0.6521739130434783,0.8490566037735849,0.5524987071830489
1,2,0.4117647058823529,0.3793103448275862,0.8461538461538461,0.4468382821446957
1,3,0.7526881720430108,0.7230769230769231,0.9038461538461539,0.9097852135231431
1,4,0.6774193548387096,0.6375,0.9807692307692307,0.7042714659632643

2,0,0.6521739130434783,0.618421052631579,0.94,0.5774504158847291
2,1,0.5698924731182796,0.5714285714285714,0.9811320754716981,0.5365668548033926
2,2,0.35294117647058826,0.36363636363636365,0.9230769230769231,0.3978120612125295
2,3,0.7526881720430108,0.704225352112676,0.9615384615384616,0.9161540598513095
2,4,0.6666666666666666,0.6296296296296297,0.9807692307692307,0.6933604697698486

3,0,0.6413043478260869,0.6133333333333333,0.92,0.5583587506135401
3,1,0.5698924731182796,0.5714285714285714,0.9811320754716981,0.5537735851656859
3,2,0.4117647058823529,0.3793103448275862,0.8461538461538461,0.4099793077857213
3,3,0.7741935483870968,0.7183098591549296,0.9807692307692307,0.9173264832256166
3,4,0.6666666666666666,0.6296296296296297,0.9807692307692307,0.6830947974619791

4,0,0.6521739130434783,0.625,0.9,0.577805706446967
4,1,0.5698924731182796,0.5714285714285714,0.9811320754716981,0.5466330777584927
4,2,0.35294117647058826,0.36363636363636365,0.9230769230769231,0.40738418785189173
4,3,0.7526881720430108,0.7230769230769231,0.9038461538461539,0.9056423454023964
4,4,0.6666666666666666,0.6296296296296297,0.9807692307692307,0.688714650951305

5,0,0.6739130434782609,0.6388888888888888,0.92,0.5774420358102725
5,1,0.5698924731182796,0.5714285714285714,0.9811320754716981,0.5479658300245978
5,2,0.35294117647058826,0.36363636363636365,0.9230769230769231,0.4052862857539896
5,3,0.7526881720430108,0.7230769230769231,0.9038461538461539,0.904498184817624
5,4,0.6666666666666666,0.6296296296296297,0.9807692307692307,0.7056104623837988
